Disease,Description
Fungal infection,"A condition caused by fungi invading and growing on or in the body, often affecting the skin, nails, or lungs."
Allergy,"An immune system overreaction to harmless substances like pollen, dust, or certain foods."
GERD,"A digestive disorder where stomach acid frequently flows back into the esophagus, causing heartburn."
Chronic cholestasis,"A long-term reduction or blockage of bile flow from the liver, leading to jaundice and itching."
Drug Reaction,"Adverse response of the body to medication, ranging from mild rashes to severe systemic effects."
Peptic ulcer diseae,Painful sores or ulcers in the lining of the stomach or upper small intestine due to acid damage.
AIDS,Advanced stage of HIV infection where the immune system is severely weakened.
Diabetes,A metabolic disorder characterized by high blood sugar due to insulin issues.
Diabetes,A metabolic disorder characterized by high blood sugar due to insulin issues.
Gastroenteritis,"Inflammation of the stomach and intestines causing vomiting, diarrhea, and abdominal cramps."
Bronchial Asthma,A chronic respiratory condition with airway inflammation leading to wheezing and breathlessness.
Hypertension,A chronic condition where blood pressure is persistently elevated.
Hypertension,A chronic condition where blood pressure is persistently elevated.
Migraine,"A neurological condition causing intense headaches, often with nausea and light sensitivity."
Cervical spondylosis,"Age-related wear and tear affecting the spinal disks in the neck, leading to pain and stiffness."
Paralysis (brain hemorrhage),Loss of muscle function due to bleeding in the brain damaging motor pathways.
Jaundice,Yellowing of the skin and eyes caused by excess bilirubin from liver or bile duct problems.
Malaria,"A mosquito-borne infectious disease causing fever, chills, and flu-like symptoms."
Chicken pox,"A highly contagious viral infection causing itchy, blister-like rashes and flu symptoms."
Dengue,"A mosquito-transmitted viral infection causing high fever, rash, and muscle pain."
Typhoid,"A bacterial infection spread through contaminated food or water, causing fever and abdominal pain."
hepatitis A,A viral liver infection typically spread through contaminated food or water.
Hepatitis B,"A liver infection caused by the hepatitis B virus, often spread via blood or body fluids."
Hepatitis C,A bloodborne virus that causes liver inflammation and can lead to chronic liver disease.
Hepatitis D,A liver infection that occurs only in people infected with hepatitis B.
Hepatitis E,A liver disease spread mainly through contaminated drinking water.
Alcoholic hepatitis,Inflammation of the liver due to excessive alcohol consumption.
Tuberculosis,A bacterial infection that mainly affects the lungs and spreads through the air.
Common Cold,"A viral infection of the upper respiratory tract causing sneezing, cough, and congestion."
Pneumonia,"Infection that inflames the air sacs in one or both lungs, leading to cough and fever."
Dimorphic hemmorhoids(piles),Swollen veins in the lower rectum or anus that cause pain and bleeding.
Heart attack,A blockage of blood flow to the heart muscle causing chest pain and potential heart damage.
Varicose veins,"Enlarged, twisted veins usually in the legs, due to faulty valves and poor circulation."
Hypothyroidism,"Underactive thyroid gland causing fatigue, weight gain, and cold sensitivity."
Hyperthyroidism,"Overactive thyroid causing increased metabolism, weight loss, and rapid heartbeat."
Hypoglycemia,"A condition where blood sugar levels fall too low, leading to dizziness and fainting."
Osteoarthristis,"A degenerative joint disease causing pain, swelling, and stiffness."
Arthritis,Inflammation of the joints causing pain and decreased mobility.
(vertigo) Paroymsal  Positional Vertigo,A condition causing brief episodes of dizziness due to head movements.
Acne,"A skin condition where hair follicles become clogged with oil and dead skin, causing pimples."
Urinary tract infection,"An infection in any part of the urinary system, often causing painful urination."
Psoriasis,"A chronic autoimmune condition that causes red, scaly patches on the skin."
Impetigo,A contagious bacterial skin infection producing red sores or blisters.
Chronic Fatigue Syndrome,"A complex disorder marked by extreme, long-lasting fatigue not improved by rest."
Panic Disorder,"A psychiatric condition marked by sudden, repeated panic attacks and intense fear."
Lupus,"An autoimmune disease where the immune system attacks healthy tissue, causing inflammation."
Endometriosis,"A condition where tissue similar to the uterine lining grows outside the uterus, causing pain."
Celiac Disease,An immune reaction to eating gluten that damages the small intestine lining.
Crohn's Disease,A chronic inflammatory bowel disease affecting the digestive tract.
Ulcerative Colitis,Chronic inflammation of the colon leading to ulcers and digestive issues.
Multiple Myeloma,A cancer of plasma cells that affects bone marrow and weakens the immune system.
Meniere's Disease,"A disorder of the inner ear causing vertigo, tinnitus, and hearing loss."
Psoriatic Arthritis,An autoimmune disease combining joint inflammation and skin psoriasis.
Fibromyalgia,"A condition causing widespread musculoskeletal pain, fatigue, and cognitive difficulties."
Graves' Disease,An autoimmune disorder causing hyperthyroidism.
Hashimoto's Thyroiditis,An autoimmune disease where the thyroid is gradually destroyed.
Raynaud's Disease,A condition where fingers and toes feel numb or cold due to blood vessel spasms.
Sarcoidosis,"An inflammatory disease that causes granulomas to form in organs, especially lungs and lymph nodes."
Myasthenia Gravis,A neuromuscular disorder causing weakness in voluntary muscles.
Guillain-Barre Syndrome,"A rare condition where the immune system attacks peripheral nerves, causing paralysis."
Amyotrophic Lateral Sclerosis,A progressive nervous system disease that weakens muscles and affects physical function.
Polycystic Ovary Syndrome,A hormonal disorder causing enlarged ovaries with small cysts.
Sickle Cell Disease,A genetic blood disorder where red blood cells become misshapen and block blood flow.
Hemophilia,A genetic disorder where blood doesn't clot properly due to missing clotting factors.
Thalassemia,A genetic blood disorder causing the body to produce abnormal hemoglobin.
Wilson's Disease,A genetic disorder causing copper buildup in organs like the liver and brain.
Phenylketonuria,A rare inherited disorder where the body can't break down phenylalanine.
Huntington's Disease,A genetic disorder causing progressive brain degeneration and movement problems.
Duchenne Muscular Dystrophy,A genetic condition causing muscle degeneration and weakness.
Marfan Syndrome,"A genetic disorder affecting connective tissue, often impacting the heart, eyes, and skeleton."
Tay-Sachs Disease,A rare genetic disorder that destroys nerve cells in the brain and spinal cord.
Rett Syndrome,A rare genetic neurological disorder affecting brain development in girls.
Ankylosing Spondylitis,A type of arthritis that causes inflammation of the spine and large joints.
Behcet's Disease,A rare disorder causing blood vessel inflammation throughout the body.
Primary Biliary Cholangitis,A chronic liver disease that slowly destroys bile ducts.
Sjogren's Syndrome,"An autoimmune disorder that affects moisture-producing glands, causing dry eyes and mouth."
Pernicious Anemia,"A condition where the body can't absorb enough vitamin B12, leading to anemia."
Brucellosis,"A bacterial infection from animals causing fever, sweats, and joint pain."
Leptospirosis,"A bacterial infection spread by contact with animal urine, affecting liver and kidneys."
Ehlers-Danlos Syndrome,"A group of disorders affecting connective tissues, causing joint hypermobility and fragile skin."
Interstitial Cystitis,A chronic condition causing bladder pressure and pelvic pain.
Aplastic Anemia,A condition where the bone marrow fails to produce enough blood cells.
Lead Poisoning,"A medical condition caused by elevated levels of lead in the body, affecting the brain and other organs."
Tetanus,"A serious bacterial infection causing muscle stiffness and spasms, often from contaminated wounds."
Botulism,A rare but serious illness caused by a toxin that attacks the nervous system.
Nephrotic Syndrome,A kidney disorder causing the body to excrete too much protein in the urine.
Glomerulonephritis,"Inflammation of the kidney's filtering units, affecting waste removal."
Spinal Muscular Atrophy,A genetic disorder affecting motor neurons and leading to muscle wasting.
Zollinger-Ellison Syndrome,A rare condition in which tumors cause excessive stomach acid production.
Trigeminal Neuralgia,A chronic pain condition affecting the trigeminal nerve in the face.
Influenza (Flu),"A contagious viral infection causing fever, cough, and body aches."
COVID-19,"A viral respiratory illness caused by SARS-CoV-2, ranging from mild symptoms to severe pneumonia."
Strep Throat,"A bacterial throat infection causing pain, fever, and swollen lymph nodes."
Urinary Tract Infection (UTI),"An infection in any part of the urinary system, often causing burning and frequent urination."
Mononucleosis,"A viral infection (often called “mono”) causing fatigue, sore throat, and swollen glands."
Ear Infection,"A bacterial or viral infection of the ear, often painful and sometimes affecting hearing."
Sinus Infection,"Inflammation or infection of the sinuses causing headache, congestion, and facial pain."
Bronchitis,Inflammation of the bronchial tubes leading to cough and mucus production.
Type 2 Diabetes,"A metabolic disorder where the body becomes resistant to insulin, leading to high blood sugar."
Allergic Rhinitis,"Inflammation of the nasal passages caused by allergens, leading to sneezing and congestion."
Acid Reflux (GERD),"A condition where stomach acid backs up into the esophagus, causing discomfort and burning."
Tension Headache,"A common headache with dull, aching pain often linked to stress or muscle tension."
Asthma,"A chronic respiratory condition causing episodes of wheezing, breathlessness, and chest tightness."
Iron Deficiency Anemia,A condition where lack of iron leads to reduced red blood cell production.
Insomnia,"Difficulty falling or staying asleep, affecting daily functioning."
Seasonal Allergies,"Allergic responses triggered by pollen or mold spores, usually seasonal in nature."